,cas,smiles,LogLD
260,103-23-1,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,3.95904139232109
261,117-81-7,CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC,4.47712125471966
262,90-49-3,CCC(C(=O)NC(N)=O)C1=CC=CC=C1,3.31449922797315
263,41340-25-4,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O,1.97312785359969
264,470-82-6,CC12CCC(CC1)C(C)(C)O2,3.39445168082621
265,97-53-0,COC1=C(O)C=CC(CC=C)=C1,3.28555730900777
266,102676-31-3,Cl.N#CC1=CC=C(C=C1)C1CCCC2=CN=CN12,2.30102999566398
267,7705-08-0,[Cl-].[Cl-].[Cl-].[Fe+3],2.65321251377534
268,14484-64-1,[Fe+3].CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S,3.05307844348341
269,98319-26-7,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,2.62117628177503
270,54143-56-5,CC(O)=O.FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,3.12904505988795
271,86386-73-4,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,3.104145550554
